,Class,Subclass,Condena,Location,Victims,Date murder,Date Detention,Victim Profile
11,Asesino en serie,Robos,Condenado a 25 años de prisión el 4 de septiembre de 1998. Condenado a reclusión  perpetua en 1999. Condenado a 18 años de prisión en 2000. Puesto en libertad el 20 de diciembre de 2015,"Buenos Aires, Argentina",4,1996 / 1998,1 de agosto de 1996,21 de marzo de 1978
12,Asesino,Despecho - Venganza,Condenado a 89 años y dos meses de prisión el 20 de febrero de 2014,"Degaña, Asturias, España",3,23 de mayo de 2011,Mismo día,1969
13,Asesino en masa,Venganza - Incendio,Condenado a reclusión perpetua el 10 de noviembre de 1995,"Buenos Aires, Argentina",5,17 de febrero de 1994,1960,"José Bagnato, de 42 años, su esposa Olga Plaza, de 40, sus hijos Fernando, de 14, y Alejandro, de 9, y el niño Nicolás Borda, de 11"
14,Asesino,Magnicidio,Fue condenado a cadena perpetua el 27 de marzo de 1996,"Tel Aviv, Israel",1,4 de noviembre de 1995,4 de noviembre de 1995,23 de mayo de 1970
15,Asesino en masa,Amrani debía comparecer ante la justicia el mismo día del ataque por un asunto de índole sexual,Se suicida de un disparo en la frente el mismo día,"Lieja, Bélgica",6,13 de diciembre de 2011,15 de noviembre de 1978,"Antonietta Racano, 45 / Mehdi Belhadj, 15 / Pierre Gérouville, 17 / Gabriël Leblond, 1 / Claudette Putzeys, 75 / Laurent Kremer, 20"
16,Asesino en masa,Celos - Disputas familiares,Se suicida el mismo día disparándose en la cabeza,"Delavan, Estados Unidos (Wisconsin)",5,9 de junio de 2007,1985,"Su esposa Nicole Marie McAffee, de 19 años; dos de sus hijos, Argenis e Isaiah Analco, gemelos sólo meses de edad; su cuñada Ashley Huerta, de 21 años y una amiga de la familia Vanesa Iverson, de 19"
17,Asesino,Robo - Fue el último preso ejecutado en Suecia y la única ejecución llevada a cabo mediante la guillotina,"Fue ejecutado en la guillotina en la prisión de Långholmen, en Estocolmo, el 23 de noviembre de 1910","Estocolmo, Suecia",1,5 de enero de 1910,14 de mayo de 1910,27 de octubre de 1873
18,Asesino,"Seis años antes, Luis Patricio había disparado con una escopeta a su anterior novia y había sido condenado por ello a 18 años de cárcel",Condenado a 24 años de prisión el 13 de marzo de 2002,"Madrid, España",1,13 de octubre de 1999,Mismo día (se entrega),1963
19,Asesino en serie,Violación - Evisceración,"Condenado a cadena perpetua. Murió en la prisión de Stateville, Illinois, el 31 de enero de 2006","Chicago, Estados Unidos (Illinois)",4 - 40,1971 - 1991,1945,Mujeres
20,Asesino en serie,«Los crímenes se debían a un pacto satánico con San La Muerte»,Condenado a prisión perpetua el 7 de septiembre de 2012,"Buenos Aires, Argentina",4 +,Feb. - Ago. de 2010,30 de agosto de 2010,1988
21,Asesino en masa,Parricida - Venganza,Se suicida disparándose un tiro en la sien el mismo día,"Chieri, Turín, Italia",7,15 de octubre de 2002,1962,"Su exmujer, Carla Bergamin, tres de sus familiares y tres vecinos"
22,Asesino,Robo,Ejecutado en la horca el 6 de agosto de 1759,"Yorkshire, Inglaterra, Gran Bretaña",1,7 de febrero de 1744,21 de agosto de 1758,1704
23,¿Asesinato?,La estrella del cine mudo fue acusado de abusar sexualmente de la actriz Virgina Rappe y asesinarla,"Juzgado por primera vez el 14 de noviembre de 1921; el jurado dio su veredicto el 4 de diciembre de 1921: no culpable por 10 votos contra 2, pero el juicio fue declarado nulo. Juzgado por segunda vez el 11 de enero de 1922; el jurado dio su veredicto el 3 de febrero: nuevamente no culpable por 10 a 2 y nuevamente declarado como juicio nulo. Tercer juicio iniciado el 13 de marzo de 1922; el 12 de abril fue declarado unánimente inocente. Algo más de 10 años después, el 29 de junio de 1933, Fatty Arbuckle moría por un infarto","San Francisco, Estados Unidos (California)",¿1?,9 de septiembre de 1921,17 de septiembre de 1921,24 de marzo de 1887
24,Asesino,Robos - El asesino agredió a la esposa y a las dos hijas del interfecto,Condenado a 75 años de prisión el 28 de julio de 2003,"Pozuelo de Alarcón, Madrid, España",1 +,20 de junio de 2001,20 de junio de 2001,9 de octubre de 1977
25,Asesino,Violador,Fue condenado a 30 años de prisión en 2004,"Pleine Fougeres, Francia",1,18 de julio de 1996,11 de marzo de 2001,14 de marzo de 1951
26,Asesino en masa,Abatió a tiros a cuatro vecinos que estaban talando cinco robles plantados en un terreno que le habían adjudicado,Condenado a 56 años de prisión el 18 de abril de 1985. Puesto en libertad en 2000,"Gomesende, Lugo, España",4,19 de noviembre de 1983,Mismo día (se entrega),1935
27,Homicida,Canibalismo,Condenado de 6 a 18 años de prisión. Muere de SIDA en la cárcel el 11 de septiembre de 2012,"Playa del Carmen, México",1 +,12 de diciembre de 2004,14 de diciembre de 2004,7 de abril de 1978
28,Asesino,Envenenador - Parricida,Fue ejecutado en la horca el 31 de mayo de 1922,"Hay-on-Wye, Gales, Gran Bretaña",1,22 de febrero de 1921,31 de diciembre de 1921,1869
29,Asesino,Parricida - Envenenador,Condenado a 30 años de prisión en julio de 1954,"Barcelona, España",1,26 de junio de 1951,????,"Su hija, Montserrat Artés Forzada, de dieciocho meses"
30,Asesino,"Fundador y gurú de la secta ""La Verdad Suprema""",Fue condenado a pena de muerte el 27 de febrero de 2004,"Tokio, Japón",12,20 de marzo de 1995,2 de marzo de 1955,Hombres y mujeres (viajeros de Metro)
31,Asesino,Descuartizamiento - ¿Canibalismo?,Condenado a 24 años de prisión el 18 de diciembre de 2007,"Murcia / Albacete, España",2,Ene. / Feb. 2006,15 de febrero de 2006,1980
32,Asesino,"Racista - Disparó a 11 personas, todas ellas inmigrantes","Condenado a cadena perpetua el 1 de diciembre de 1993 por un delito de asesinato, nueve delitos de asesinato en grado de tentativa y tres atracos a entidades bancarias","Estocolmo, Suecia",1,8 de noviembre de 1991,12 de junio de 1992,12 de julio de 1953
33,Asesino en masa,"«La humanidad está sobrevalorada, No merece la pena luchar por ella, sólo merece la pena matar»",Se suicida disparándose el mismo día,"Tuusula, Finlandia",8,7 de noviembre de 2007,4 de junio de 1989,"Seis estudiantes, la directora del centro, y una enfermera"
34,Asesino en serie,"Líder de ""las Goteras"", una banda de prostitutas que envenenaban a sus clientes para robarles",Condenado a 13 años y 4 meses de prisión el 17 de octubre de 2011,"México, D. F., México",25 - 70 +,1997 - 2007,12 de febrero de 2008,1974
35,Asesino,Violador,Condenado de 5 a 20 años de prisión el 3 de noviembre de 1955. Puesto en libertad en 1964 por razones de salud. Muere en 1972,"Minneapolis, Estados Unidos (Minnesota)",1,23 de abril de 1955,1905,"Elizabeth Mary Moonen, de 21 años, embarazada de tres meses"
36,Asesino,Celos - El asesino se inspiró en su propio crimen para escribir una novela de carácter violento. La publicación de la obra en 2003 contribuyó a que la policía polaca pudiera resolver el caso,Fue condenado a 25 años de prisión el 5 de septiembre de 2007. La sentencia fue ratificada en diciembre de 2008,"Wroclaw, Polonia",1,13 de noviembre de 2000,2005,1974
37,Asesino en serie,Se deshacía de los cadáveres de sus víctimas dándoselos de comer a los caimanes,Se suicidó el mismo día que fue detenido,"Elmendorf, Estados Unidos (Texas)",5 - 14 +,1936 - 1938,24 de septiembre de 1938,7 de enero de 1896
38,Asesino en masa,Parricida,Condenado a cadena perpetua el 28 de octubre de 1986,"Goldhanger, Inglaterra, Gran Bretaña",5,7 de agosto de 1985,29 de septiembre de 1985,1961
39,Asesino en masa,8,Condenado a reclusión perpetua el 3 de abril de 1923. Puesto en libertad el 10 de junio de 1949. Fallece ese mismo año.,"Partido de Azul, Argentina",18 de abril de 1922,18 de abril de 1922,18 de noviembre de 1872,Dionisio Banks (hermano) / Sara Banks (sobrina) / Juan Gaitán (peón) / Claudio Loiza (peón) / María Ana Banks (hermana) / Juana Dillon (cuñada) / Miguel Banks (hermano) / Cecilia Banks (sobrina)
40,Asesino,Acosador - Obsesionado con la actriz Rebecca Schaeffer,Condenado a cadena perpetua sin posibilidad de libertad condicional el 20 de diciembre de 1991,"Los Ángeles, Estados Unidos (California)",1,18 de julio de 1989,19 de julio de 1989,2 de enero de 1970
41,Asesino en masa,"Parricida - Harto de «los oprobios y humillaciones» que habría sufrido por parte de su esposa, hijas y suegra",Condenado a cadena perpetua el 17 de agosto de 1995. Recibió el beneficio de prisión domiciliaria el 3 de mayo de 2008. Puesto en libertad el 29 de marzo de 2011,"La Plata, Argentina",4,15 de noviembre de 1992,16 de noviembre de 1992,16 de junio de 1936
42,Asesino en masa,Parricidio - Negocios,Se suicidó con un arma de fuego el 29 de julio de 1999,"Fulton, Estados Unidos (Georgia)",12,27 - 29 de julio de 1999,1955,"Su mujer, sus 2 hijos y 9 empleados de oficinas bursátiles"
43,Asesino,Robo - Relación homosexual,Fue condenado a cadena perpetua en febrero de 1973,"Londres, Inglaterra, Gran Bretaña",1,19 de diciembre de 1970,28 de junio de 1972,1955
44,Asesino,Sádico - Mutilador,Condenado a 20 años de prisión el 11 de julio de 1988,"Madrid, España",1,2 de marzo de 1987,Mismo día,1957
45,Asesino,Canciller de Alemania en Chile que fingió su propio asesinato para ocultar un desfalco,Ejecutado por fusilamiento el 5 de julio de 1910,"Santiago, Chile",1,5 de febrero de 1909,12 de febrero de 1909,1870
46,Asesino,Venganza,Ejecutado en la horca el 18 de mayo de 1812,"Londres, Inglaterra, Gran Bretaña",1,11 de mayo de 1812,11 de mayo de 1812,c. 1769
47,Asesino,Parricida - Luchador profesional canadiense dos veces Campeón Mundial,Se suicida por ahorcamiento el 27 de junio de 2007,"Fayetteville, Estados Unidos (Georgia)",2,22 - 23 de junio de 2007,21 de mayo de 1967,"Su esposa Nancy, de 43 años, y su hijo Daniel, de 7"
48,Asesino,Parricidio - Para heredar 10.000.000 de dólares,Fue condenado a dos cadenas perpetuas (mínimo 50 años) y una adicional de 37 años por intento de asesinato e incendio el 2 de septiembre de 1986,"Naples, Estados Unidos (Florida)",2,9 de julio de 1985,22 de agosto de 1985,26 de julio de 1951
49,Asesino en serie,Violador - Torturador,Condenado a cadena perpetua en 1988. Murió en prisión el 8 de octubre de 1992,"Kansas City, Estados Unidos (Missouri)",7,1984 - 1988,2 de abril de 1988,1949
50,Asesino en serie,Berkowitz afirmó que el perro de su vecino estaba poseído por el demonio y que éste le había ordenado cometer los asesinatos,Condenado a 365 años de prisión en 1978,"Nueva York, Estados Unidos (Nueva York)",6,1976 - 1977,10 de agosto de 1977,1 de junio de 1953
51,Asesino en serie,Pedofilia - Violador en serie,Condenado a 40 años de prisión el 20 de marzo de 2004,"Varios lugares, Colombia",17 - 21,1999 - 2003,18 de julio de 2003,15 de octubre de 1961
52,Asesino en serie,Violador,"Condenado a 25 años de prisión el 1 de septiembre de 1995. Posteriormente fue declarado «Violador Peligroso», algo que en la ley canadiense equivale a que el condenado no pueda obtener la libertad","Ontario, Canadá",3 +,Dic. de 1990 - Abril de 1992,17 de febrero de 1993,27 de agosto de 1964
53,Asesino en serie,Secuestro - Violación - Tortura,Fue condenado a cadena perpetua en California y Washington,"Varias, Estados Unidos (California), Estados Unidos (Washington)",12,1977 - 1979,13 de enero de 1979,22 de mayo de 1951
54,Asesino en serie,Jugador compulsivo - Venganza - Robos,Condenado a 13 cadenas perpetuas el 12 de abril del 2000,"Zona de Liguria, Italia",17,1997 - 1998,6 de mayo de 1998,10 de julio de 1951
55,Homicida,¿Parricidio?,Fue absuelto el 16 de marzo de 2005. Posteriormente fue condenado por juicio civil en 2005,"Los Ángeles, Estados Unidos (California)",¿1?,4 de mayo de 2001,18 de abril de 2002,18 de septiembre de 1933
56,Asesino en serie,"Según confesó, mataba bajo el influjo de una maldición que lo convertía en hombre-lobo",Condenado a pena de muerte el 6 de abril de 1853. Conmutada por cadena perpetua el 13 de mayo de 1854. Murió el 14 de diciembre de 1863 en la fortaleza del Monte Hacho de Ceuta,"Ourense, España",9 +,1845 - 1852,2 de julio de 1852,18 de noviembre de 1809
57,Homicida,Enfermo mental,Considerado inimputable en 1960. Internado en el Psiquiátrico de Ciempozuelos. Se fuga el 5 de junio de 1966. Considerado inimputable en 1967. Internado en el Psiquiátrico Penitenciario de Carabanchel.,"Madrid, España",2,1959 / 1966,6 de junio de 1966,1921
58,Asesino en serie,Fraudes - Robos,Ejecutado en la horca el 8 de abril de 1862,"Milán, Italia",4,1849 - 1859,26 de febrero de 1860,23 de diciembre de 1799
59,Asesino en serie,Violador - Camionero,Condenado a pena de muerte el 28 de diciembre de 2001. Ejecutado por medio de inyección letal el 7 de enero de 2016,"Varias, Estados Unidos (Florida)",3 +,Ene. - Dic. 1986,Julio de 1990,22 de enero de 1962
60,Asesino itinerante,Menor de edad (16 años) - Parricida,Se suicida disparándose en la cabeza el 24 de septiembre de 1995,"Solliès-Pont / Cuers, Francia",15,23-24 de septiembre de 1995,11 de diciembre de 1978,"Yves Bichet (su padrastro) / Marie-Jeanne Parenti (su madre) / Jean-Yves Bichet, 11 (su hermanastro) / Alan Guillemette, 17 (su amigo) / Marius Boudon, 59 / Andrée Coletta, 65 / Rodolphe Incorvala, 59 / Jeanne Laugiero, 68 / Mohammed Maarad, 41 / Pierre Marigliano, 68 / Pascal Mostacchi, 15 / Denise Otto, 77 / Mario Pagani, 81 / André Touret, 62 / Ginette Vialette, 48"
61,Homicida,Christian Brando era el hijo mayor del actor de cine Marlon Brando,Se declaró culpable de homicidio involuntario y fue condenado a 10 años de prisión el 21 de febrero de 1991. Murió el 26 de enero de 2008,"Los Ángeles, Estados Unidos (California)",1,16 de mayo de 1990,16 de mayo de 1990,11 de mayo de 1958
62,Asesino en masa,"""Fanático extremista""",Condenado a 21 años de cárcel prorrogables el 24 de agosto de 2012,"Oslo / Islote de Utøya, Noruega",77,22 de julio de 2011,22 de julio de 2011,13 de febrero de 1979
63,Asesino,Parricida - Venganza contra su esposa - Incineró los cuerpos de los niños,Condenado a 40 años de prisión el 22 de julio de 2013. En marzo de 2015 la Audiencia Provincial de Córdoba rebajó la condena inicial de 40 a 25 años de cárcel,"Córdoba, España",2,8 de octubre de 2011,18 de octubre de 2011,1973
64,Homicida,Parricida - Diagnosticado de esquizofrenia paranoide,Absuelto al aplicarle la eximente completa de enajenación mental. El tribunal le impuso como medida de seguridad 25 años de internamiento en un centro psiquiátrico penitenciario el 2 de diciembre de 2014,"Dos Hermanas, Sevilla, España",3,28 de febrero de 2013,Día siguiente (se entrega),1978
65,Homicida,Menor de edad (15 años) – Parricida,Condenado a cadena perpetua en enero de 2009,"Cockeysville, Estados Unidos (Maryland)",4,1 de febrero de 2008,2 de febrero de 2008,9 de febrero de 1992
66,Asesino en serie,Necrofilia - Fetichismo,Fue condenado a tres cadenas perpetuas consecutivas el 27 de junio de 1969. Murió en prisión el 28 de marzo de 2006,"Varios lugares, Estados Unidos (Oregón)",3 - 4,1968 - 1969,25 de mayo de 1969,31 de enero de 1939
67,Homicida,Canibalismo - Esquizofrenia,"Fue condenado a confinamiento psiquiátrico en 1993. Los trabajadores sociales decidieron darle mayor margen de movimiento y prácticamente lo dejaron libre en 2004. Tras volver a matar, fue sentenciado a cadena perpetua el 15 de marzo de 2005","Londres, Inglaterra, Gran Bretaña",3,1993 / 2004,1970,"Nisha Sheth, de 20 años (dependienta de un almacén comercial) / Brian Cherry, de 43 (amigo) / Richard Loudwell, de 60 (interno del hospital psiquiátrico de Broadmoor)"
68,Asesino itinerante,Esquizofrenia - Venganza contra la sociedad,Condenado a 35 cadenas perpetuas sin posibilidad de libertad condicional el 22 de noviembre de 1996,"Port Arthur, Tasmania, Australia",35,28 - 29 de abril de 1996,29 de abril de 1996,7 de mayo de 1967
69,Asesino,Robos con violencia e intimidación - Las autoridades lo declararon el enemigo público número uno,"Protagonizó su última fuga el 20 de abril de 1984. La búsqueda del criminal finalizó con el archivo del caso, comunicado en 2015","Burgos / Barcelona, España",4,1983,25 de noviembre de 1983 (última detención),26 de mayo de 1954
70,Asesino en serie,Violador,Fue ejecutado en la silla eléctrica el 24 de enero de 1989,"Varios lugares, Estados Unidos (Colorado), Estados Unidos (Florida), Estados Unidos (Idaho), Estados Unidos (Oregón), Estados Unidos (Utah), Estados Unidos (Washington)",14 +,1973 - 1978,15 de febrero de 1978,24 de noviembre de 1946
71,Asesino en serie,Secuestro - Violador - Tortura,Fue condenado a cadena perpetua sin libertad condicional en noviembre de 1983. Murió en la cárcel el 21 de septiembre de 2002,"Los Ángeles, Estados Unidos (California)",10,1977 - 1978,22 de octubre de 1979,5 de octubre de 1934
72,Asesino en serie,Vendía los cadáveres de sus víctimas con el objetivo de proporcionar material para disecciones,Fue ejecutado en la horca el 28 de enero de 1829,"Edimburgo, Escocia, Gran Bretaña",17,1827 - 1828,1 de noviembre de 1828,1792
73,Homicida,Parricidio - Mató en la creencia de que la víctima encarnaba el mal y que debía liberar a la humanidad de su presencia,"La Audiencia Provincial de Córdoba absolvió a Álvaro Bustos por enajenación mental y ordenó su internamiento en un psiquiátrico el 10 de julio de 1987. Unos años después, los médicos consideraron que estaba recuperado y fue puesto en libertad","Córdoba, España",1,4 de enero de 1987,6 de enero de 1987,1954
74,Asesino,Intento de violación - Decapitación,Fue condenado a cadena perpetua en 1960,"Birmingham, Inglaterra, Gran Bretaña",1,23 de diciembre de 1959,9 de febrero de 1960,1931
75,Asesino,Ataque de celos,Fue ejecutado en la horca el 9 de enero de 1923,"Londres, Inglaterra, Gran Bretaña",1,3 de octubre de 1922,4 de octubre de 1922,27 de junio de 1902
76,Asesino en serie,Canibalismo - Descuartizamiento,"Se suicida en prisión, ahorcándose con un cinturón, el 11 de diciembre de 2007","México, D. F., México",3 +,2004 - 2007,8 de octubre de 2007,20 de junio de 1969
77,Asesino en serie,Violador,Condenado a 16 años de prisión (la máxima pena posible en Ecuador) el 14 de febrero de 1988. Asesinado en prisión el 13 de noviembre de 1994,"Varias, Colombia, Ecuador",71 - 151,1974 / 1984 - 1986,26 de febrero de 1986,22 de enero de 1930
78,Asesino,Crimen sin cadáver,Fue condenado a muerte en 1948. La pena fue conmutada y salió de prisión en 1959. En 1967 fue sentenciado a dos años de libertad condicional por haber intentado abusar de una niña de trece años. Posteriormente fue enviado de vuelta a la cárcel para completar su sentencia de cadena perpetua y obtuvo la libertad en 1978. Murió el 7 de julio de 1979,"En un barco en alta mar, Océano Atlántico",1,18 de octubre de 1947,1916,"La actriz Gay Gibson, de 21 años"
79,Asesino,Incineraba los cadáveres - Encontraba a sus víctimas a través de una agencia matrimonial - Mataba para cobrar los seguros de vida,Ejecutado en la silla eléctrica el 18 de abril de 1930,"Elizabeth, Estados Unidos (Nueva Jersey)",2,1928 - 1929,11 de abril de 1929,1896
80,Asesino en masa,Enfrentamiento por doscientos metros cuadrados de tierra,Se suicidó el mismo día disparándose en la cabeza,"Liermo, Santander, España",7,27 de noviembre de 1980,1916,"Inocencio Palacio Presmanes, de 38 años / Juan Manuel Beci, de 40 / Vicente López Díaz, de 68 / Manuel y Amalio Revuelta, de 58 / María Concepción Cruz Cedrún / Encarnación Cruz Pérez, de 62"
81,Homicida,Celos,"Condenado a 8 años de prisión el 29 de marzo de 2004. Puesto en libertad condicional el 16 de octubre de 2007, tras cumplir la mitad de su condena","Vilna, Lituania",1,26 de julio de 2003,27 de julio de 2003,5 de marzo de 1964
82,Asesino en serie,"«Veía imágenes, escuchaba voces y sentía ganas de matar»",Condenado a 25 años de prisión en Nueva York en 1995. Muere en prisión en octubre de 1997,"Varias, Estados Unidos (California), Estados Unidos (Nueva York), México",4 +,1971 - 1977,18 de enero de 1994 (se entrega),1949
83,Asesino en serie,Argumentaba que las había matado para probar en ellas su técnica de resurrección que había estado buscando,Condenado a 20 años de prisión en 1942. Puesto en libertad el 8 de septiembre de 1976. Murió el 2 de agosto de 1999,"México, D. F., México",4,Ago.-Sep. 1942,4 de septiembre de 1942,1915
84,Asesino en serie,Violación - Robos - Crímenes por encargo,Condenado a 30 años de prisión el 6 de diciembre de 2011,"Varios lugares, Bolivia",3 - 30 +,2009 - 2011,17 de febrero de 2011,9 de abril de 1987
85,Asesino en serie,Violador,Fue condenado a un máximo de cuarenta años de prisión en Minnesota en 1975,"Varios lugares, Estados Unidos (Alaska), Estados Unidos (Minnesota), Estados Unidos (Washington)",5 +,1949 / 1972 - 1974,24 de septiembre de 1974,18 de mayo de 1927
86,Homicida en masa,Menor de edad (14 años),Condenado a cadena perpetua el 15 de diciembre de 1998,"Paducah, Estados Unidos (Kentucky)",3,1 de diciembre de 1997,1 de diciembre de 1997,1983
87,Homicida,Parricida - Decapita a su madre y pasea por su pueblo con la cabeza bajo el brazo,Absuelto del delito de asesinato por la eximente completa de enajenación mental. Se le aplica una medida preventiva de internamiento psiquiátrico por un máximo de veinte años el 24 de septiembre de 2009,"Santomera, Murcia, España",1,14 de abril de 2008,Mismo día,15 de diciembre de 1973
88,Homicida,Figura clave en la llamada Generación Beat – Homosexualidad,Condenado de 2 a 20 años de prisión el 9 de octubre de 1944. Puesto en libertad en 1946. Murió el 28 de enero de 2005,"Nueva York, Estados Unidos (Nueva York)",1,14 de agosto de 1944,15 de agosto de 1944,1 de marzo de 1925
89,¿Asesino?,Rencor - Encubrimiento,"Sentenciado a muerte en La Coruña el 18 de diciembre de 1903. En 1904 Alfonso XIII conmutó la pena por cadena perpetua. Fecha de puesta en libertad incierta (1926, 1928 o 1929), igual que la de su muerte (1932 o 1946).","Grañas do Sor, La Coruña, España",¿1?,23 de noviembre de 1900,"Diciembre de 1903. Detenido dos años antes, pero se fugó de prisión.",15 de febrero de 1882
90,Homicida,"Mata a tiros a un camarero, a su exsuegro y a un sargento de la Policía Local en el plazo de una semana sin motivo aparente",Internado en el centro psiquiátrico de Sant Boi de Llobregat (Barcelona),"Tarragona/Barcelona, España",3,Junio-Julio 2017,6 de julio de 2017,1973
91,Asesino,Violador,Fue ejecutado en la horca en Wandsworth el 19 de noviembre de 1943,"Londres, Inglaterra, Gran Bretaña",1,13 de julio de 1943,"Bridget Nora Milton, de 45 años",Estrangulación
92,Asesino,Envenenador - Se cree que fue el primer asesino en usar la morfina como veneno,Ejecutado en la guillotina el 4 de diciembre de 1823,"París, Francia",2,1822 / 1823,2 de junio de 1823,1796
93,Asesino en serie,Violador homosexual - Descuartizamiento,En prisión a la espera de ser juzgado,"Chihuahua, México",3 - 12 +,2009 - 2015,4 de enero de 2016,1980
94,Asesino,Parricida,Condenado a 20 años de prisión el 10 de noviembre de 2006,"Saint Savin, Francia",1,7 de agosto de 2004,7 de agosto de 2004,30 de julio de 1959
95,Asesino,Venganza - Robo,"Condenado a dos penas de muerte en octubre de 1977. El Supremo confirmó la sentencia. Se benefició del indulto del 25 de noviembre de 1975, y las dos penas capitales le fueron conmutadas por dos condenas de 30 años","Barcelona, España",2,4 de mayo de 1974,4 de mayo de 1974,8 de septiembre de 1939
96,Asesino en serie,Violador - Necrofilia,Condenado a 16 años de prisión en Ecuador en 1993. Puesto en libertad el 18 de octubre de 2000. Condenado a 45 años de prisión en España el 5 de diciembre de 2006,"Varias, Ecuador, España",9,1988 - 1993 / 2004,8 de diciembre de 2004,1963
97,Asesino,Enfadado porque John Lennon predicara paz y amor y tuviera millones de dólares,Fue condenado de 20 años de prisión a cadena perpetua en agosto de 1981,"N. Y. City, Estados Unidos (Nueva York)",1,8 de diciembre de 1980,8 de diciembre de 1980,10 de mayo de 1955
98,Homicida,Fugas carcelarias,"Condenado a trabajos forzados a perpetuidad el 26 de octubre de 1931. Tras protagonizar varias fugas, obtuvo finalmente la libertad el 18 de octubre de 1945. Falleció en Madrid el 29 de julio de 1973","París / Guayana Francesa, Francia",2,26 de marzo de 1930,7 de abril de 1930,16 de noviembre de 1906
99,Asesino en serie,Canibalismo - Mutilación,Condenado a muerte el 8 de mayo de 1979. Se suicidó en prisión el 26 de diciembre de 1980,"Sacramento, Estados Unidos (California)",6,1977 - 1978,27 de enero de 1978,23 de mayo de 1950
100,Asesino en serie,"Robó, violó, degolló y, en algunos casos, mutiló, a 11 mujeres",Condenado a pena de muerte el 30 de marzo de 2018,"Gansu/Mongolia interior, China",11,1988 - 2002,2016,1966
101,¿Violador?,Robos - ¿Secuestro?,"Fue considerado culpable de robo, secuestro y violación en julio de 1948 y condenado a muerte. La ejecución tuvo lugar en la cámara de gas de la prisión de San Quentin el 2 de mayo de 1960","Los Ángeles, Estados Unidos (California)",1947,Enero de 1948,27 de mayo de 1921,Hombres y mujeres
102,Asesino en serie,Canibalismo - Necrofilia - Evisceración - Mutilación,Ejecutado de un tiro en la nuca en la prisión de Rostov del Don el 14 de febrero de 1994,"Óblast de Rostov, Rusia",52 - 56,1978 - 1990,20 de noviembre de 1990,16 de octubre de 1936
